DateTime,AddedIPs,RemovedIPs
1550733608,500,491
1550739158,480,483
1550747084,470,471
1550750169,272,273
1550761009,679,683
1550830098,945,955
1550857218,884,876
1550884838,776,784
1550976500,904,897
1551035331,944,938
1551127217,973,971
1551219114,977,981
1551222536,534,533
1551249140,952,965
1551263083,706,699
1551354779,954,957
1551382337,764,753
1551383293,484,484
1551387154,497,508
1551402017,789,787
1551407333,608,608
1551411169,547,550
1551480281,957,949
1551481218,455,455
1551488186,533,540
1551493238,561,564
1551497566,525,531
1551501166,499,491
1551504988,474,475
1551513621,521,531
1551518096,434,439
1551527785,566,549
1551531388,406,404
1551567371,823,822
1551568367,490,480
1551570731,489,503
1551575089,522,524
1551576502,450,457
1551578932,482,472
1551585387,510,517
1551588249,431,431
1551592336,448,456
1551661942,976,951
1551730345,977,980
1551810032,973,974
1551868833,920,919
1551896170,738,732
1551988817,970,973
1552078954,973,973
1552128493,950,969
1552187533,916,910
1552279474,916,914
1552284535,478,480
1552318361,906,896
1552344967,767,770
1552425372,933,932
1552427074,468,463
1552434514,523,526
1552440020,514,513
1552480810,942,949
1552497639,721,720
1552500524,459,460
1552504845,483,483
1552510606,504,504
1552530258,740,747
1552532920,397,408
1552536734,64,64
1552536989,335,323
1552540354,406,411
1552545634,518,509
1552548510,419,420
1552552106,483,481
1552555473,443,452
1552559795,445,444
1552563163,426,415
1552567231,430,434
1552588570,653,655
1552589553,394,386
1552592437,421,422
1552599159,519,524
1552602250,424,414
1552602651,45,45
1552606363,494,499
1552628169,854,849
1552638760,582,608
1552641643,466,449
1552645247,487,482
1552648130,434,437
1552651478,399,395
1552655323,468,470
1552659378,446,451
1552663484,428,429
1552666817,424,420
1552684127,647,647
1552690504,480,479
1552696831,470,472
1552700437,407,419
1552711453,517,507
1552733301,709,710
1552734255,382,379
1552737637,407,405
1552742204,455,455
1552745798,448,446
1552748937,424,423
1552751813,442,441
1552756124,491,497
1552760443,495,490
1552801697,899,910
1552804356,376,365
1552805069,62,63
1552821370,395,393
1552822090,300,304
1552826428,448,451
1552830996,439,438
1552835310,408,408
1552842513,502,497
1552845388,443,450
1552867232,704,692
1552873228,458,463
1552876831,435,429
1552894579,679,706
1552901562,461,461
1552909692,461,443
1552944496,903,898
1552978089,907,914
1552979084,404,397
1552981451,422,436
1552984351,490,479
1552987228,483,489
1552997783,705,699
1553006897,556,561
1553010269,465,460
1553014110,470,472
1553041697,827,828
1553048909,528,532
1553082252,904,895
1553083731,410,416
1553089231,491,483
1553094990,481,485
1553103393,529,533
1553194363,500,485
1553194574,412,418
1553200107,484,484
1553213336,635,649
1553217172,490,475
1553220044,428,434
1553222670,442,443
1553225560,440,441
1553236112,582,581
1553239206,472,463
1553247376,735,753
1553257939,595,590
1553261054,450,442
1553264414,436,438
1553271892,500,498
1553275226,482,485
1553288436,676,673
1553310507,754,755
1553316770,540,536
1553358621,910,913
1553367368,567,567
1553370272,438,440
1553374594,482,477
1553377210,406,411
1553381078,466,466
1553383959,448,449
1553388986,533,529
1553410834,768,788
1553413713,421,412
1553415639,422,424
1553418522,440,436
1553421150,407,404
1553424031,416,421
1553425975,405,395
1553427873,418,415
1553429531,434,443
1553431955,447,439
1553437717,562,572
1553440603,404,397
1553445739,491,487
1553449955,447,446
1553458123,508,506
1553462199,418,426
1553464861,386,384
1553507552,909,911
1553549303,895,896
1553554835,454,455
1553581711,783,776
1553586040,431,439
1553590844,529,539
1553595162,487,488
1553605729,592,584
1553610526,476,472
1553615317,533,525
1553619401,482,489
1553622999,446,446
1553627534,480,481
1553629962,445,447
1553632361,477,473
1553635237,488,490
1553684913,912,926
1553692609,591,576
1553698337,537,542
1553705078,523,525
1553707957,471,462
1553711567,481,480
1553715162,488,491
1553719488,477,477
1553721634,400,399
1553723297,427,426
1553726935,431,432
1553727854,389,388
1553731287,482,485
1553813119,921,918
1553835612,747,742
1553852892,614,626
1553854572,405,393
1553861319,502,503
1553878347,621,627
1553946987,899,893
1553951531,421,424
1553956101,415,423
1553958537,410,401
1553961396,402,414
1553964992,453,445
1553968593,476,471
1553986335,647,647
1553988746,428,428
1553991168,382,386
1553994258,395,391
1553996922,410,413
1553999553,414,411
1554002438,408,417
1554004590,386,379
1554007723,408,412
1554014669,437,432
1554017555,379,384
1554025473,418,418
1554032678,421,420
1554036268,367,370
1554039158,366,362
1554042499,418,411
1554045625,467,473
1554048039,450,447
1554052110,455,466
1554058841,391,387
1554062521,376,373
1554064361,411,407
1554068434,427,426
1554072046,402,408
1554078508,408,407
1554082118,379,377
1554085695,424,423
1554089220,441,441
1554092432,421,429
1554095317,407,404
1554098202,411,409
1554101081,399,408
1554103968,429,418
1554107562,431,444
1554110435,411,405
1554113278,426,420
1554115952,428,429
1554118834,394,400
1554121939,421,419
1554125562,478,478
1554128428,444,446
1554145230,632,623
1554163988,708,733
1554168282,492,473
1554195614,807,809
1554254900,882,891
1554259235,409,416
1554263077,416,402
1554270770,489,493
1554281562,670,684
1554295226,578,546
1554300044,440,451
1554301686,420,419
1554305545,453,449
1554318382,489,497
1554387152,905,897
1554408031,581,580
1554411387,391,400
1554414748,439,431
1554418619,437,437
1554421227,398,407
1554426533,483,484
1554429635,422,419
1554433721,427,425
1554436848,423,430
1554441379,442,433
1554446676,456,461
1554449570,413,410
1554451480,392,397
1554454118,398,394
1554456276,397,403
1554459885,390,387
1554463229,869,858
1554465387,893,910
1554468029,869,878
1554471397,868,861
1554474281,862,870
1554477881,878,877
1554482194,899,871
1554485553,879,909
1554488436,874,880
1554493934,892,866
1554496818,896,882
1554499959,855,873
1554505024,877,865
1554508881,871,889
1554510756,872,867
1554528023,500,480
1554528742,401,402
1554529951,485,499
1554530175,397,383
1554532111,500,499
1554532343,409,413
1554536430,912,914
1554540259,908,914
1554542414,901,891
1554545794,908,911
1554624969,919,939
1554652345,891,898
1554694109,891,883
1554695055,579,557
1554699400,870,887
1554709963,861,869
1554718595,893,870
1554721244,915,912
1554724121,917,917
1554726518,888,903
1554729382,885,887
1554732758,916,904
1554735872,915,912
1554739712,875,897
1554744030,910,919
1554754826,949,920
1554756992,923,954
1554769240,892,892
1554786524,933,902
1554791557,903,918
1554795875,893,877
1554798756,924,926
1554801633,928,925
1554803784,908,932
1554895460,963,940
1554899532,907,907
1554906504,914,917
1554910576,913,912
1554913224,868,879
1554916825,850,863
1554919722,851,845
1554923796,866,847
1554925953,893,919
1554928112,923,896
1554931962,870,894
1554935081,899,872
1554976569,905,922
1554980450,898,896
1555001528,896,901
1555003228,878,879
1555006603,891,875
1555009461,921,918
1555012848,927,934
1555017858,906,912
1555021206,866,878
1555024114,868,845
1555027729,854,872
1555044976,899,877
1555066327,919,920
1555072830,841,867
1555076429,876,864
1555080030,866,876
1555097554,901,888
1555120123,918,910
1555130658,870,893
1555221629,909,891
1555290020,917,933
1555307791,900,903
1555310190,884,866
1555312329,899,897
1555314737,898,894
1555317155,887,913
1555319559,885,862
1555322922,853,879
1555326508,875,842
1555330115,906,934
1555333708,913,909
1555336833,952,934
1555340909,924,943
1555344048,931,908
1555347399,931,937
1555350280,905,896
1555352435,916,916
1555355073,919,929
1555357967,909,923
1555360105,911,890
1555364180,935,936
1555369739,900,917
1555371635,892,896
1555375478,889,870
1555379067,895,912
1555381225,918,896
1555383394,889,889
1555385315,913,924
1555387716,913,909
1555389875,910,905
1555392028,897,897
1555394912,886,904
1555397073,882,877
1555399123,876,886
1555401636,919,913
1555403787,907,908
1555406673,924,905
1555408840,937,937
1555411952,878,902
1555414357,916,913
1555416762,910,900
1555418927,867,875
1555432356,884,866
1555435704,889,891
1555440269,912,908
1555443161,904,907
1555447005,907,919
1555450368,897,909
1555453238,864,857
1555455857,863,864
1555459932,903,888
1555463533,876,873
1555469800,875,879
1555473158,919,921
1555475537,927,921
1555477959,902,914
1555479627,858,843
1555548498,892,904
1555553319,895,893
1555555457,897,887
1555561707,904,906
1555564592,903,902
1555567732,918,919
1555569883,894,905
1555570821,663,654
1555572510,893,917
1555575394,905,880
1555579959,901,918
1555584507,921,904
1555587858,901,926
1555590738,901,891
1555594353,893,902
1555596761,858,863
1555600595,906,875
1555603940,921,920
1555607314,880,893
1555610460,900,892
1555613313,900,904
1555616443,912,904
1555620757,858,878
1555624357,904,889
1555628441,886,905
1555633468,907,894
1555637798,898,891
1555660331,906,915
1555665389,900,894
1555669002,887,887
1555674027,890,889
1555677630,896,893
1555683377,904,902
1555686768,889,888
1555693000,870,898
1555702846,913,888
1555794509,905,910
1555795455,705,701
1555797875,866,887
1555801021,891,869
1555811300,896,897
1555817291,883,894
1555822594,859,858
1555836272,870,874
1555847050,913,896
1555850436,889,895
1555854040,906,903
1555856918,904,901
1555863636,891,905
1555890763,885,891
1555932018,892,884
1555965374,500,485
1555965868,386,389
1555976696,889,887
1555980261,855,871
1555984346,893,884
1555990358,876,871
1555994194,852,870
1555998749,932,924
1556001626,930,918
1556005229,912,928
1556008123,906,892
1556010746,872,904
1556013388,899,872
